name,price,type,country,winery,grape,alcohol,year
Brut (Carte Jaune) Champagne,144000,Sparkling,France,Veuve Clicquot,Pinot Noir/Chardonnay/Pinot Meunier,12,N.V.
Brut Champagne,484900,Sparkling,France,Dom Pérignon,Pinot Noir/Chardonnay,12.5,2008
Brut Gold Champagne,579900,Sparkling,France,Armand de Brignac,Chardonnay/Pinot Noir/Pinot Meunier,12.5,N.V.
Cava Kripta Gran Reserva Brut Nature,197900,Sparkling,Spain,Agusti Torello Mata,Macabeo/Xarel-ro/Parellada,11.5,2007
Collection 242 Champagne,101900,Sparkling,France,Louis Roederer,Pinot Noir,12,N.V.
Franciacorta Grande Cuvée Alma Non Dosato,59900,Sparkling,Italy,Bellavista,Chardonnay/Pinot Noir,12.5,N.V.
Grande Cuvée,399900,Sparkling,France,Krug,Pinot Noir/Chardonnay/Pinot Meunier,12,N.V.
Moscato d'Asti,37900,Sparkling,Italy,Vietti,Moscato Bianco,5.5,2018
Nectar Impérial (Demi-Sec) Champagne,92900,Sparkling,France,Moët & Chandon,Pinot Noir,12,N.V.
Riserva Lunelli,198900,Sparkling,Italy,Ferrari,Chardonnay,12.5,2015
Aconcagua Valley,190900,Red,Chile,Sena,Cabernet Franc,13,2007
Altura,244900,Red,Chile,Casa Silva,Carménère,14.5,2008
Bolgheri Superiore,595900,Red,Italy,Ornellaia,Cabernet Sauvignon/Merlot/Cabernet Franc/Petit Verdot,14.5,2012
Clark & Telephone Vineyard Pinot Noir,151900,Red,United States,Belle Glos,Pinot Noir,14.7,2021
Fratta,181900,Red,Italy,Maculan,Merlot/Cabernet Sauvignon,14.5,2015
Gigondas La Colline,117900,Red,France,Domaine des Bosquets,Grenache,14,2018
Gigondas Le Lieu Dit,81900,Red,France,Domaine des Bosquets,Grenache,14,2018
Pauillac (Premier Grand Cru Classé),1478900,Red,France,Château Lafite Rothschild,Cabernet Sauvignon,12.5,1990
Pian delle Vigne Brunello di Montalcino,125900,Red,Italy,Antinori,Sangiovese,14,2013
Saint-Julien (Grand Cru Classé),287900,Red,France,Château Léoville Barton,Cabernet Sauvignon/Merlot/Cabernet Franc,13.5,2010
1896 Riesling,93900,White,Germany,Carl Loewen,Riesling,12.5,2024
Baron de L Pouilly-Fumé,83900,White,France,de Ladoucette,Sauvignon Blanc,12.5,1985
Bâtard-Montrachet Grand Cru,3044900,White,France,Domaine Leflaive,Chardonnay,14,2021
Castillo Ygay Gran Reserva Especial Blanco,75900,White,Spain,Marqués de Murrieta,Malvasia/Viura,13.5,1998
Grande Cuvée Chablis 1er Cru,46900,White,France,La Chablisienne,Chardonnay,13,2003
I Frati Lugana,25900,White,Italy,Cà dei Frati,Turbiana,13,2022
Napa Valley Chardonnay,54900,White,United States,Beringer,Chardonnay,14,2005
Sauvignon Blanc,54900,White,New Zealand,Kim Crawford,Sauvignon Blanc,12.5,2020
Singerriedel - Riesling Smaragd,212900,White,Austria,Franz Hirzberger,Riesling,14,2024
Vigna Senza Nome Moscato d'Asti,41900,White,Italy,Braida,Moscato Bianco,5.5,N.V.





